brand_code,title,term,shape,dose,يارانه ارزي, مبلغ سهم سازمان با احتساب يارانه ارزي,percent_share_of_organization_exchange_subsidy,سهم صعب العلاج,سهم ناباروري,قيمت,price_exchange_subsidy,سهم سازمان,فهرست,قيمت در استانها,ROW_COLOR,Rx Code,FDA Code,
47,ALUMINIUM  MG, بيش از 0 سال  کمتر از 12 سال ,SUSP,,142900,317900,80.911, , ,250000,392900,70%,"مددجويان کميته امداد
,بهزيستي",,,67015,,
48,ALUMINIUM  MG, بيش از 0 سال  کمتر از 12 سال ,CHEWABLE  TAB,,2530,3804,87.448, , ,1820,4350,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,60077,,
49,ALUMINIUM  MG S, بيش از 0 سال  کمتر از 12 سال ,SUSP,,51300,290420,73.917, , ,341600,392900,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
50,ALUMINIUM  MG S, بيش از 0 سال  کمتر از 12 سال ,CHEWABLE  TAB,,1570,5035,77.223, , ,4950,6520,70%,"مددجويان کميته امداد
,بهزيستي",,,60082,,
2019,ALUMINIUM  MG S, بيش از 0 سال  کمتر از 12 سال ,SUSP,10 mg/Sachet,0,8400,70, , ,12000,12000,70%,"مددجويان کميته امداد
,بهزيستي",,,67014,51880,
51,AMANTADINE   HCL,,CAP,100 mg,4350,7395,85, , ,4350,8700,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,60085,,
52,AMBENONIUM  CHLORIDE,,TAB,10 mg,,350,70%, , ,500,500,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
53,AMIKACIN  (AS SULFATE), بيمارستاني   تجويز توسط پزشك متخصص,INJ,50 mg/ml    (100mg)  (2ml),35600,71020,82.389,20%, ,50600,86200,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,60088,53,
54,AMIKACIN  (AS SULFATE), بيمارستاني   تجويز توسط پزشك متخصص تاييد توسط داروخانه <br>يا  بيمارستاني   تجويز توسط پزشك متخصص تاييد توسط داروخانه/ سهم  سازمان بهمراه سهم صعب العلاج  براي بيماران cf در كل 90درصد ميباشد. با سهم سازمان 90 درصد ,INJ,250 mg/ml    (500 mg)    (2ml),69500,"         129,140
         146,180","83.477
94.492",20%, ,85200,154700,"70%
90%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,60090,54,
7083,AMILORIDE, توليد داخل ضد پرفشاري خون /تاييد در داروخانه,TAB,5 mg,,175,70%, , ,250,250,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,64702,7083,
14115,AMINO ACID10%,   تجويز توسط پزشك متخصص<br> يا  بيمارستاني,INFU,250ML 10%,,298200,70%, , ,426000,426000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67035,14115,
19926,AMINOACID  5%,   تجويز توسط پزشك متخصص<br> يا  بيمارستاني,INFU,500 ml,1445000,1685800,94.231, , ,344000,1789000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67044,50865,
56,AMINOACID 10%, بيمارستاني<br> يا    تجويز توسط پزشك متخصص,INFU,250 ml,1971000,2269200,94.668, , ,426000,2397000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67036,56,
58,AMINOGLUTETHIMIDE,   تجويز توسط پزشك متخصص,SCORED  TAB,250 mg,,292,70%, , ,418,418,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
61,AMINOPHYLLINE,,INJ,250 mg/10 ml,10260,66848,73.378, , ,80840,91100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,60094,,
63,AMIODARONE  HCI,,SCORED  TAB,200 mg,15585,22795,88.062, , ,10300,25885,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,60097,,
64,AMIODARONE  HCI, بيمارستاني,INJ,150 mg/3 ml,20438,133671,73.365, , ,161762,182200,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,60099,64,
65,AMITRIPTYLINE  HCI,,COATED  TAB,10 mg,433,1651,75.977, , ,1740,2173,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,60102,,
66,AMITRIPTYLINE  HCI,,COATED  TAB,100 mg,2868,6950,79.889, , ,5832,8700,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67047,,
68,AMITRIPTYLINE  HCI,,COATED  TAB,25 mg,723,3464,74.674, , ,3917,4640,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,60104,,
69,AMITRIPTYLINE  HCI,,SCORED  COATED  TAB,50 mg,1427,4992,76.565, , ,5093,6520,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,60105,,
70,AMLODIPINE   (AS BESYLATE),,TAB,5 mg,2720,3980,88.053,20%, ,1800,4520,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,60106,,
72,AMMONIUM  CHLORIDE,,BULK,,,175,70%, , ,250,250,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
74,AMMONIUM  HYDROXIDE,,BULK,,,70,70%, , ,100,100,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
71,AMMONIUM ALUM,,BULK,,,280,70%, , ,400,400,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
75,AMOXICILLIN,,SUSP,125 mg/5 ml    (100 ml),109300,224380,81.98, , ,164400,273700,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,,
76,AMOXICILLIN,,CAP,250 mg,7800,12077,86.822, , ,6110,13910,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,,
77,AMOXICILLIN,,CAP,500 mg,15300,19570,91.448, , ,6100,21400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,60889,,
78,AMOXICILLIN,,SUSP,250 mg/5 ml    (100 ml),170700,283190,85.452, , ,160700,331400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,,
2020,AMOXICILLIN,,TAB,250 mg,,1050,70%, , ,1500,1500,70%,"مددجويان کميته امداد
,بهزيستي",,,60886,,
2021,AMOXICILLIN,,TAB,500 mg,15300,19570,91.448, , ,6100,21400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,مامايي",,,67060,,
6523,AMOXICILLIN,,POWDER  FOR  SUSPENSION,200 mg/5 ml,121100,223300,83.601, , ,146000,267100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67057,,
6524,AMOXICILLIN,,POWDER  FOR  SUSPENSION,400 mg/5 ml,164700,297070,83.965, , ,189100,353800,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67059,,
99904,AMOXICILLIN,,CHEWABLE  TAB,400 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
79,AMPHOTERICIN - B, بيمارستاني   تجويز توسط پزشك متخصص تاييد توسط داروخانه با سهم سازمان 90 درصد ,VIAL,50 mg/20 ml,1134300,1332300,98.375,5%, ,220000,1354300,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,60898,79,
17094,AMPHOTERICIN-B LIPOSOMAL, پرونده اي بيمه سلامت و بيمارستاني   تجويز توسط پزشك متخصص,VIAL,,13856000,15917500,94.741,20%, ,2945000,16801000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,66006,17094,
83,AMPICILLIN,,SUSP,125 mg/5 ml    (100 ml),,28700,70%, , ,41000,41000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
84,AMPICILLIN,,CAP,250 mg,,1120,70%, , ,1600,1600,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,60910,,
85,AMPICILLIN,,CAP,500 mg,6127,8297,89.92, , ,3100,9227,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,,
86,AMPICILLIN,,SUSP,250 mg/5 ml    (100 ml),,37450,70%, , ,53500,53500,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
1386,AMPICILLIN,,TAB,250 mg,,147,70%, , ,210,210,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1387,AMPICILLIN,,TAB,500 mg,,266,70%, , ,380,380,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,67060,,
80,AMPICILLIN  (AS SODIUM),   تجويز توسط پزشك متخصص تاييد توسط داروخانه,INJ,1 g,87400,163560,83.363, , ,108800,196200,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,67064,,
81,AMPICILLIN  (AS SODIUM),   تجويز توسط پزشك متخصص تاييد توسط داروخانه,INJ,250 mg,61100,121300,82.46, , ,86000,147100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67065,,
